Dataset,Launch id,F1 metric test score,Fit minutes,Model name
volkert,13,0.6696529417234525,14.022582629166665,rf
volkert,13,0.6869665513043294,8.510594158333333,lgbm
volkert,14,0.6676263416025816,15.74892205,rf
volkert,14,0.6755638857495861,7.6119488875000005,lgbm
volkert,15,0.664600308070662,13.3811200625,rf
volkert,15,0.6838206996177655,7.376675083333334,lgbm
volkert,16,0.6642536603322124,12.7751480875,rf
volkert,16,0.6773478222832782,7.1941453541666665,lgbm
volkert,17,0.6644523909834341,15.096341395833335,rf
volkert,17,0.6842746316810835,7.394070758333334,lgbm
volkert,18,0.6689749615846938,13.870992587499998,rf
volkert,18,0.6860262423091112,7.551928125000001,lgbm
volkert,19,0.6675425379168975,13.564538829166665,rf
volkert,19,0.683722265448538,7.470789841666667,lgbm
