Dataset,Launch id,Composing minutes,Tuning minutes,All minutes
Amazon_employee_access,0,2.77,2.28,5.01
Amazon_employee_access,1,2.86,2.22,5.12
Amazon_employee_access,2,2.48,2.62,5.09
Amazon_employee_access,3,3.05,2.05,5.10
Amazon_employee_access,4,2.87,2.20,5.9
Amazon_employee_access,5,2.94,2.15,5.12
Amazon_employee_access,6,3.03,2.05,5.06
Amazon_employee_access,7,2.88,2.21,5.12
Amazon_employee_access,8,2.99,2.08,5.09
Amazon_employee_access,9,2.51,2.52,5.09
cnae-9,0,2.36,2.87,5.38
cnae-9,1,1.74,3.22,5.15
cnae-9,2,2.68,2.52,5.38
cnae-9,3,2.97,2.25,5.38
cnae-9,4,2.41,2.59,5.11
cnae-9,5,2.9496604333333334,3.1736932833333333,6.2510449
cnae-9,6,3.82785045,1.2006744666666667,5.115948816666667
cnae-9,7,2.807635633333333,2.3670203499999998,5.305535116666666
cnae-9,8,2.3379090833333334,2.6939621,5.1135526166666665
cnae-9,9,2.056815916666667,2.9778636333333335,5.12337395
vehicle,0,2.8553346333333334,0.8031823333333333,3.665465333333333
vehicle,1,2.6155940833333333,0.4761735833333333,3.0982916
vehicle,2,3.0093617499999996,0.4827566833333333,3.4984986333333334
vehicle,3,2.67722345,0.47506269999999995,3.15882715
vehicle,4,2.7029079666666664,0.4561499166666667,3.1652557000000003
vehicle,5,2.657634366666667,2.3579659333333334,5.026535816666667
vehicle,6,2.75329465,0.47238258333333333,3.2332583
vehicle,7,2.7808597333333336,0.4825784166666667,3.2700222333333335
vehicle,8,2.683743766666667,0.48421373333333334,3.17506315
vehicle,9,2.676773316666667,0.47265766666666664,3.1565123833333333
volkert,0,3.0532095166666666,2.1652434833333336,6.122414133333334
volkert,1,2.87537915,2.380305933333333,6.242480283333333
volkert,2,2.5132515166666667,2.7188370333333336,6.0325538666666665
volkert,3,1.7447503500000001,3.520617966666667,6.197037249999999
volkert,4,3.0537259666666667,2.16728065,6.18514165
volkert,5,2.7355542833333333,2.45957025,6.146674183333333
volkert,6,2.6330061833333334,2.6243217333333333,5.884662266666667
volkert,7,1.6101400499999998,3.6695853833333336,6.119256533333333
volkert,8,2.7663504333333337,2.56532215,6.35332285
volkert,9,3.67140415,1.4997055666666665,5.87108705
