Dataset,Launch id,SMAPE metric test score,Fit minutes,Model name
cal_housing,0,29.064782510390383,0.18197559166666666,rfr
cal_housing,0,27.881148874750767,0.17370625,lgbmreg
cal_housing,1,29.504979886751173,0.187584825,rfr
cal_housing,1,27.676879769305053,0.17432541666666668,lgbmreg
cal_housing,2,28.964998916305376,0.17335145833333335,rfr
cal_housing,2,27.76885473619211,0.18726165416666668,lgbmreg
cal_housing,3,28.62589453623815,0.18583737083333332,rfr
cal_housing,3,27.204513901480894,0.18231238333333333,lgbmreg
cal_housing,4,28.794577110285555,0.17620955416666667,rfr
cal_housing,4,28.151613440512044,0.18442756666666665,lgbmreg
cal_housing,5,28.741287708631454,0.17615712083333332,rfr
cal_housing,5,27.38294769493482,0.19015792916666668,lgbmreg
cal_housing,6,28.61248645374392,0.17630672916666668,rfr
cal_housing,6,27.021976987362628,0.19940417916666664,lgbmreg
cal_housing,7,28.968569462942494,0.17263339166666666,rfr
cal_housing,7,27.14071564974032,0.187132825,lgbmreg
cal_housing,8,29.002054840148432,0.1719559833333333,rfr
cal_housing,8,26.516420000900837,0.16860322083333334,lgbmreg
cal_housing,9,28.5738530040467,0.1805544375,rfr
cal_housing,9,27.474444636200424,0.16800471250000001,lgbmreg
cal_housing,10,28.666984122177915,0.17081501666666665,rfr
cal_housing,10,26.87932958830272,0.18812185833333334,lgbmreg
cal_housing,11,28.926510808472088,0.16526967916666668,rfr
cal_housing,11,27.841054243720045,0.17900457083333332,lgbmreg
cal_housing,12,29.113242542467592,0.1759305458333333,rfr
cal_housing,12,27.94986885475935,0.17639487916666666,lgbmreg
cal_housing,13,28.57657485892029,0.17461137083333333,rfr
cal_housing,13,28.077157638631817,0.2039254166666667,lgbmreg
cal_housing,14,28.67727437992494,0.16537254583333333,rfr
cal_housing,14,27.410631131129445,0.16962133333333335,lgbmreg
cal_housing,15,29.175108768880296,0.1614092875,rfr
cal_housing,15,27.584285350237597,0.1880221208333333,lgbmreg
cal_housing,16,28.888421351143208,0.19019535416666666,rfr
cal_housing,16,27.50188687556719,0.19265970416666667,lgbmreg
cal_housing,17,28.968962469042786,0.17651747083333336,rfr
cal_housing,17,28.14300929523636,0.17870945416666667,lgbmreg
cal_housing,18,28.753917779644993,0.180440375,rfr
cal_housing,18,27.32582871902065,0.17212124583333333,lgbmreg
cal_housing,19,28.905914313876877,0.17437776666666666,rfr
cal_housing,19,27.116079684105046,0.16806715,lgbmreg
delta_ailerons,0,52.690786876395045,0.059016266666666664,rfr
delta_ailerons,0,52.43937206617491,0.04337150416666666,lgbmreg
delta_ailerons,1,52.53969321079447,0.06007141666666666,rfr
delta_ailerons,1,52.359442098919715,0.0424448,lgbmreg
delta_ailerons,2,52.59260882342712,0.06038605833333333,rfr
delta_ailerons,2,52.359442098919715,0.04161369583333333,lgbmreg
delta_ailerons,3,52.44846814714363,0.0593933625,rfr
delta_ailerons,3,52.359442098919715,0.042245354166666665,lgbmreg
delta_ailerons,4,52.23964475248974,0.06039323333333333,rfr
delta_ailerons,4,52.359442098919715,0.0428105,lgbmreg
delta_ailerons,5,52.32567011040498,0.05939068333333334,rfr
delta_ailerons,5,52.359442098919715,0.04258609583333334,lgbmreg
delta_ailerons,6,52.551149926340635,0.05956562916666666,rfr
delta_ailerons,6,52.359442098919715,0.042394945833333336,lgbmreg
delta_ailerons,7,52.60764417609634,0.05970335416666667,rfr
delta_ailerons,7,52.359442098919715,0.04236169583333333,lgbmreg
delta_ailerons,8,52.678203938214764,0.059633770833333336,rfr
delta_ailerons,8,52.359442098919715,0.042490516666666665,lgbmreg
delta_ailerons,9,52.444363142909076,0.0607405875,rfr
delta_ailerons,9,52.359442098919715,0.042557012500000005,lgbmreg
delta_ailerons,10,52.248947635902596,0.0582233125,rfr
delta_ailerons,10,52.359442098919715,0.04254038333333333,lgbmreg
delta_ailerons,11,52.40886448057714,0.05890077916666667,rfr
delta_ailerons,11,52.359442098919715,0.04284790416666667,lgbmreg
delta_ailerons,12,52.34416035194792,0.06051374583333333,rfr
delta_ailerons,12,52.359442098919715,0.04256104583333334,lgbmreg
delta_ailerons,13,52.54502465999979,0.058824666666666664,rfr
delta_ailerons,13,52.359442098919715,0.042087425,lgbmreg
delta_ailerons,14,52.53466014513047,0.05991553333333334,rfr
delta_ailerons,14,52.359442098919715,0.0419378375,lgbmreg
delta_ailerons,15,52.64220992267556,0.0599899375,rfr
delta_ailerons,15,52.359442098919715,0.04285620833333333,lgbmreg
delta_ailerons,16,52.843567565955894,0.05907161666666666,rfr
delta_ailerons,16,52.359442098919715,0.042785575000000006,lgbmreg
delta_ailerons,17,52.672263296848264,0.059073883333333334,rfr
delta_ailerons,17,52.359442098919715,0.04197107083333333,lgbmreg
delta_ailerons,18,52.199492505640634,0.05981623333333333,rfr
delta_ailerons,18,52.359442098919715,0.042249499999999995,lgbmreg
delta_ailerons,19,52.64306249070845,0.058819308333333334,rfr
delta_ailerons,19,52.359442098919715,0.042282741666666665,lgbmreg
pol,0,75.54098427320005,0.118598,rfr
pol,0,129.07413233146946,0.141633925,lgbmreg
pol,1,56.02277829795923,0.1171758,rfr
pol,1,129.25489447585912,0.13676337916666667,lgbmreg
pol,2,55.335454061237705,0.11698880416666665,rfr
pol,2,129.01903906896922,0.141513175,lgbmreg
pol,3,85.87316132142597,0.11861747083333334,rfr
pol,3,129.7777980324746,0.13985510833333334,lgbmreg
pol,4,71.9731026143637,0.11773120416666666,rfr
pol,4,129.33706752861286,0.14219053333333334,lgbmreg
pol,5,65.90484051269698,0.1188086625,rfr
pol,5,129.23657824167907,0.13916112916666665,lgbmreg
pol,6,62.97338116546157,0.11669318333333334,rfr
pol,6,129.1932468116591,0.13930241666666665,lgbmreg
pol,7,54.42135905685556,0.11830040000000001,rfr
pol,7,128.9964424500858,0.13998808333333332,lgbmreg
pol,8,56.50450549608963,0.1183430375,rfr
pol,8,129.07234677414917,0.14145499583333332,lgbmreg
pol,9,68.10622503107224,0.11758799583333335,rfr
pol,9,129.89899483414433,0.13697204583333333,lgbmreg
pol,10,57.52653870608219,0.11624401250000001,rfr
pol,10,129.0606261477001,0.13873725833333334,lgbmreg
pol,11,62.94434564113442,0.119695175,rfr
pol,11,129.32827995899228,0.13864235833333333,lgbmreg
pol,12,70.66290995508255,0.11892755416666667,rfr
pol,12,129.0995529807173,0.14265595416666665,lgbmreg
pol,13,56.745145877633966,0.11822479166666666,rfr
pol,13,129.2336202992665,0.14128461666666667,lgbmreg
pol,14,56.91476417959882,0.11824715833333334,rfr
pol,14,129.030276557218,0.140582325,lgbmreg
pol,15,72.2687717965878,0.11763990416666667,rfr
pol,15,129.21430288937353,0.14026276666666668,lgbmreg
pol,16,56.66172750481822,0.11717839166666666,rfr
pol,16,129.1455178710125,0.14271412916666665,lgbmreg
pol,17,83.29357368503301,0.1171328625,rfr
pol,17,129.44889387002183,0.13926917916666665,lgbmreg
pol,18,77.94186411297204,0.11807927916666666,rfr
pol,18,129.05604696810394,0.1405219625,lgbmreg
pol,19,75.22735762403727,0.11740025833333333,rfr
pol,19,129.41310509322403,0.13867493749999998,lgbmreg
