Dataset,Launch id,Composing minutes,Tuning minutes,All minutes
Amazon_employee_access,0,2.7817553333333334,2.292124966666667,5.096925483333334
Amazon_employee_access,1,2.8895619333333333,2.20051395,5.114738283333334
Amazon_employee_access,2,2.4557021999999997,2.6125106333333337,5.089884233333334
Amazon_employee_access,3,3.014592983333333,2.0754484833333335,5.11959575
Amazon_employee_access,4,2.8652178999999998,2.1919320833333336,5.081202366666667
Amazon_employee_access,5,2.944044583333333,2.143317516666667,5.116700300000001
Amazon_employee_access,6,3.02294815,2.0279438666666665,5.072376866666667
Amazon_employee_access,7,2.8798046499999996,2.20623235,5.1133638999999995
Amazon_employee_access,8,2.983008433333333,2.0556702666666666,5.061011383333334
Amazon_employee_access,9,2.50390495,2.52838835,5.054214133333333
cnae-9,0,2.3539131,2.86059135,5.344465349999999
cnae-9,1,1.79656455,3.252180183333333,5.130940533333333
cnae-9,2,2.6556306333333333,2.5419517833333334,5.335929166666667
cnae-9,3,2.9899864666666667,2.2491507833333335,5.377151366666666
cnae-9,4,2.43766405,2.58788035,5.1096360333333335
cnae-9,5,2.9496604333333334,3.1736932833333333,6.2510449
cnae-9,6,3.82785045,1.2006744666666667,5.115948816666667
cnae-9,7,2.807635633333333,2.3670203499999998,5.305535116666666
cnae-9,8,2.3379090833333334,2.6939621,5.1135526166666665
cnae-9,9,2.056815916666667,2.9778636333333335,5.12337395
vehicle,0,2.8553346333333334,0.8031823333333333,3.665465333333333
vehicle,1,2.6155940833333333,0.4761735833333333,3.0982916
vehicle,2,3.0093617499999996,0.4827566833333333,3.4984986333333334
vehicle,3,2.67722345,0.47506269999999995,3.15882715
vehicle,4,2.7029079666666664,0.4561499166666667,3.1652557000000003
vehicle,5,2.657634366666667,2.3579659333333334,5.026535816666667
vehicle,6,2.75329465,0.47238258333333333,3.2332583
vehicle,7,2.7808597333333336,0.4825784166666667,3.2700222333333335
vehicle,8,2.683743766666667,0.48421373333333334,3.17506315
vehicle,9,2.676773316666667,0.47265766666666664,3.1565123833333333
volkert,0,3.0532095166666666,2.1652434833333336,6.122414133333334
volkert,1,2.87537915,2.380305933333333,6.242480283333333
volkert,2,2.5132515166666667,2.7188370333333336,6.0325538666666665
volkert,3,1.7447503500000001,3.520617966666667,6.197037249999999
volkert,4,3.0537259666666667,2.16728065,6.18514165
volkert,5,2.7355542833333333,2.45957025,6.146674183333333
volkert,6,2.6330061833333334,2.6243217333333333,5.884662266666667
volkert,7,1.6101400499999998,3.6695853833333336,6.119256533333333
volkert,8,2.7663504333333337,2.56532215,6.35332285
volkert,9,3.67140415,1.4997055666666665,5.87108705
